Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
30131-20,Mishio Ogawa,小川美潮,Vap,LP,,1984,3727142,,2019-10-17 13:40:12
VS 001,Teisutis Makačinas,Disko Muzika,Vinilo studija,"LP, Album, RE, RM",,2017,9867090,,2019-09-10 14:34:29
LP 1165,The Vitamin String Quartet,The World Of Studio Ghibli,Vitamin,"LP, Album, Ltd, Cle",,2017,11186537,,2020-01-03 11:16:17
LP 115,Bolter,Hollywood,Wifon,LP,,1987,2026822,,2019-09-10 14:36:15
YLR-22001,Testpattern,Après-Midi,Yen Records,"LP, Album",,1982,2557836,,2019-10-17 17:09:15
YLR-28011,Miharu Koshi,Tutu,Yen Records,"LP, Album",,1983,2336861,,2019-10-17 17:08:58
YLR-28018,Apogee & Perigee,超時空コロダスタン旅行記,Yen Records,"LP, Album",,1984,2528011,,2019-10-17 16:49:21
zel-014,Shintaro Sakamoto Feat. Kamome Jido Gassyodan,あなたもロボットになれる,Zelone Records,"7"", Single",,2014,6338164,,2019-08-07 16:27:52
zel-018,Syunsuke Ono / Shintaro Sakamoto,Disco Is,Zelone Records,"7""",,2016,9432032,,2019-08-07 15:38:13
BTA 11527,Кукери = Кукери,Кукери 4.,Балкантон,"LP, Album",,1984,6825285,,2019-09-10 16:30:04
C60 26457 000,Андрей Родионов & Борис Тихомиров,512 Кбайт - Компьютерная Музыка,Мелодия,"LP, Album",,1987,945261,,2019-09-10 14:29:06
C60-18011-2,Teisutis Makačinas,Disko Muzika,Мелодия,"LP, Album",,1982,4403696,,2019-09-10 14:34:35
C62-16129-30,Eolika,Noktirne,Мелодия,"7""",,1981,13443484,,2019-09-10 14:35:13
С60 23305 005,Eolika,"Pasaule, Pasaulīt",Мелодия,"LP, Album",,1985,7460081,,2019-09-10 14:35:44
С60-12101-2,Mirdza Zīvere,Viena Diena Manā Mūžā,Мелодия,"LP, Album, Whi",,1979,4850007,,2019-09-10 14:32:18
